game_pk,date,season,away_team,home_team,away_sp_id,away_sp_name,home_sp_id,home_sp_name
661042,2022-04-07,2022,Houston Astros,Los Angeles Angels,664285,Framber Valdez,660271,Shohei Ohtani
661577,2022-04-07,2022,Cincinnati Reds,Atlanta Braves,641816,Tyler Mahle,608331,Max Fried
662021,2022-04-07,2022,Pittsburgh Pirates,St. Louis Cardinals,664141,JT Brubaker,425794,Adam Wainwright
662571,2022-04-07,2022,New York Mets,Washington Nationals,656731,Tylor Megill,571578,Patrick Corbin
662766,2022-04-07,2022,Cleveland Guardians,Kansas City Royals,669456,Shane Bieber,425844,Zack Greinke
663178,2022-04-07,2022,Milwaukee Brewers,Chicago Cubs,669203,Corbin Burnes,543294,Kyle Hendricks
663418,2022-04-07,2022,San Diego Padres,Arizona Diamondbacks,506433,Yu Darvish,518516,Madison Bumgarner
661041,2022-04-08,2022,Houston Astros,Los Angeles Angels,543606,Jake Odorizzi,672282,Reid Detmers
661131,2022-04-08,2022,Oakland Athletics,Philadelphia Phillies,593423,Frankie Montas,605400,Aaron Nola
661333,2022-04-08,2022,Boston Red Sox,New York Yankees,543135,Nathan Eovaldi,543037,Gerrit Cole
661576,2022-04-08,2022,Cincinnati Reds,Atlanta Braves,665665,Reiver Sanmartin,450203,Charlie Morton
661750,2022-04-08,2022,Seattle Mariners,Minnesota Twins,592662,Robbie Ray,657746,Joe Ryan
661782,2022-04-08,2022,Texas Rangers,Toronto Blue Jays,592351,Jon Gray,621244,José Berríos
661918,2022-04-08,2022,Baltimore Orioles,Tampa Bay Rays,607644,John Means,663556,Shane McClanahan
662124,2022-04-08,2022,Miami Marlins,San Francisco Giants,645261,Sandy Alcantara,657277,Logan Webb
662559,2022-04-08,2022,New York Mets,Washington Nationals,453286,Max Scherzer,680686,Josiah Gray
662888,2022-04-08,2022,Chicago White Sox,Detroit Tigers,608337,Lucas Giolito,593958,Eduardo Rodriguez
662933,2022-04-08,2022,Los Angeles Dodgers,Colorado Rockies,621111,Walker Buehler,607536,Kyle Freeland
663417,2022-04-08,2022,San Diego Padres,Arizona Diamondbacks,640455,Sean Manaea,518876,Merrill Kelly
661040,2022-04-09,2022,Houston Astros,Los Angeles Angels,434378,Justin Verlander,592789,Noah Syndergaard
661130,2022-04-09,2022,Oakland Athletics,Philadelphia Phillies,608344,Cole Irvin,502043,Kyle Gibson
661332,2022-04-09,2022,Boston Red Sox,New York Yankees,601713,Nick Pivetta,622663,Luis Severino
661575,2022-04-09,2022,Cincinnati Reds,Atlanta Braves,661269,Vladimir Gutierrez,657140,Kyle Wright
661756,2022-04-09,2022,Seattle Mariners,Minnesota Twins,669302,Logan Gilbert,543243,Sonny Gray
661803,2022-04-09,2022,Texas Rangers,Toronto Blue Jays,641540,Dane Dunning,592332,Kevin Gausman
661917,2022-04-09,2022,Baltimore Orioles,Tampa Bay Rays,543475,Jordan Lyles,656876,Drew Rasmussen
662020,2022-04-09,2022,Pittsburgh Pirates,St. Louis Cardinals,656605,Mitch Keller,571945,Miles Mikolas
662123,2022-04-09,2022,Miami Marlins,San Francisco Giants,641154,Pablo López,607074,Carlos Rodón
662588,2022-04-09,2022,New York Mets,Washington Nationals,605135,Chris Bassitt,672851,Joan Adon
662765,2022-04-09,2022,Cleveland Guardians,Kansas City Royals,668676,Zach Plesac,641745,Brad Keller
662864,2022-04-09,2022,Chicago White Sox,Detroit Tigers,656302,Dylan Cease,663554,Casey Mize
662931,2022-04-09,2022,Los Angeles Dodgers,Colorado Rockies,664062,Tony Gonsolin,608566,Germán Márquez
663205,2022-04-09,2022,Milwaukee Brewers,Chicago Cubs,605540,Brandon Woodruff,657006,Justin Steele
663404,2022-04-09,2022,San Diego Padres,Arizona Diamondbacks,605397,Joe Musgrove,605200,Zach Davies
661039,2022-04-10,2022,Houston Astros,Los Angeles Angels,664353,José Urquidy,660761,José Suarez
661129,2022-04-10,2022,Oakland Athletics,Philadelphia Phillies,641726,Daulton Jefferies,621107,Zach Eflin
661316,2022-04-10,2022,Boston Red Sox,New York Yankees,656557,Tanner Houck,656756,Jordan Montgomery
661573,2022-04-10,2022,Cincinnati Reds,Atlanta Braves,668881,Hunter Greene,666120,Ian Anderson
661738,2022-04-10,2022,Seattle Mariners,Minnesota Twins,594835,Marco Gonzales,641927,Bailey Ober
661802,2022-04-10,2022,Texas Rangers,Toronto Blue Jays,675921,Spencer Howard,547943,Hyun Jin Ryu
661916,2022-04-10,2022,Baltimore Orioles,Tampa Bay Rays,669330,Tyler Wells,446372,Corey Kluber
662019,2022-04-10,2022,Pittsburgh Pirates,St. Louis Cardinals,669060,Bryse Wilson,571927,Steven Matz
662122,2022-04-10,2022,Miami Marlins,San Francisco Giants,669432,Trevor Rogers,543101,Anthony DeSclafani
662570,2022-04-10,2022,New York Mets,Washington Nationals,471911,Carlos Carrasco,607200,Erick Fedde
662755,2022-04-10,2022,Cleveland Guardians,Kansas City Royals,615698,Cal Quantrill,663460,Kris Bubic
662887,2022-04-10,2022,Chicago White Sox,Detroit Tigers,656629,Michael Kopech,669373,Tarik Skubal
662934,2022-04-10,2022,Los Angeles Dodgers,Colorado Rockies,628711,Julio Urías,622608,Antonio Senzatela
663204,2022-04-10,2022,Milwaukee Brewers,Chicago Cubs,642547,Freddy Peralta,573186,Marcus Stroman
663395,2022-04-10,2022,San Diego Padres,Arizona Diamondbacks,605483,Blake Snell,592761,Caleb Smith
661036,2022-04-11,2022,Miami Marlins,Los Angeles Angels,622694,Elieser Hernández,547179,Michael Lorenzen
661315,2022-04-11,2022,Toronto Blue Jays,New York Yankees,666201,Alek Manoah,592791,Jameson Taillon
661572,2022-04-11,2022,Washington Nationals,Atlanta Braves,642028,Josh Rogers,660623,Huascar Ynoa
661637,2022-04-11,2022,New York Mets,Philadelphia Phillies,592836,Taijuan Walker,624133,Ranger Suarez
661754,2022-04-11,2022,Seattle Mariners,Minnesota Twins,623167,Chris Flexen,605164,Dylan Bundy
661915,2022-04-11,2022,Oakland Athletics,Tampa Bay Rays,621112,Paul Blackburn,672715,Luis Patiño
662042,2022-04-11,2022,Colorado Rockies,Texas Rangers,596295,Austin Gomber,621368,Taylor Hearn
662116,2022-04-11,2022,San Diego Padres,San Francisco Giants,607259,Nick Martinez,622072,Alex Wood
662754,2022-04-11,2022,Cleveland Guardians,Kansas City Royals,650644,Aaron Civale,672578,Carlos Hernández
662863,2022-04-11,2022,Boston Red Sox,Detroit Tigers,608379,Michael Wacha,666159,Matt Manning
663403,2022-04-11,2022,Milwaukee Brewers,Baltimore Orioles,605288,Adrian Houser,669145,Bruce Zimmermann
661038,2022-04-12,2022,Miami Marlins,Los Angeles Angels,666200,Jesús Luzardo,663776,Patrick Sandoval
661314,2022-04-12,2022,Toronto Blue Jays,New York Yankees,579328,Yusei Kikuchi,641482,Nestor Cortes
661538,2022-04-12,2022,Seattle Mariners,Chicago White Sox,666374,Matt Brash,592826,Vince Velasquez
661571,2022-04-12,2022,Washington Nationals,Atlanta Braves,571578,Patrick Corbin,693821,Bryce Elder
661636,2022-04-12,2022,New York Mets,Philadelphia Phillies,656731,Tylor Megill,554430,Zack Wheeler
661753,2022-04-12,2022,Los Angeles Dodgers,Minnesota Twins,571760,Andrew Heaney,502042,Chris Archer
661944,2022-04-12,2022,Oakland Athletics,Tampa Bay Rays,670124,Adam Oller,676720,Tommy Romero
661995,2022-04-12,2022,Colorado Rockies,Texas Rangers,641771,Chad Kuhl,527048,Martín Pérez
662017,2022-04-12,2022,Kansas City Royals,St. Louis Cardinals,663738,Daniel Lynch IV,641712,Dakota Hudson
662104,2022-04-12,2022,San Diego Padres,San Francisco Giants,506433,Yu Darvish,502171,Alex Cobb
662318,2022-04-12,2022,Chicago Cubs,Pittsburgh Pirates,592767,Drew Smyly,500779,Jose Quintana
662862,2022-04-12,2022,Boston Red Sox,Detroit Tigers,448179,Rich Hill,641302,Tyler Alexander
663088,2022-04-12,2022,Cleveland Guardians,Cincinnati Reds,669456,Shane Bieber,641816,Tyler Mahle
663295,2022-04-12,2022,Milwaukee Brewers,Baltimore Orioles,641778,Eric Lauer,657093,Spenser Watkins
663411,2022-04-12,2022,Houston Astros,Arizona Diamondbacks,677651,Luis Garcia,518516,Madison Bumgarner
661313,2022-04-13,2022,Toronto Blue Jays,New York Yankees,621244,José Berríos,543037,Gerrit Cole
661530,2022-04-13,2022,Seattle Mariners,Chicago White Sox,592662,Robbie Ray,572971,Dallas Keuchel
661570,2022-04-13,2022,Washington Nationals,Atlanta Braves,680686,Josiah Gray,608331,Max Fried
661643,2022-04-13,2022,New York Mets,Philadelphia Phillies,453286,Max Scherzer,605400,Aaron Nola
661734,2022-04-13,2022,Los Angeles Dodgers,Minnesota Twins,477132,Clayton Kershaw,663978,Chris Paddack
661943,2022-04-13,2022,Oakland Athletics,Tampa Bay Rays,593423,Frankie Montas,663556,Shane McClanahan
662115,2022-04-13,2022,San Diego Padres,San Francisco Giants,640455,Sean Manaea,657277,Logan Webb
662317,2022-04-13,2022,Chicago Cubs,Pittsburgh Pirates,543294,Kyle Hendricks,605507,Zach Thompson
662885,2022-04-13,2022,Boston Red Sox,Detroit Tigers,543135,Nathan Eovaldi,593958,Eduardo Rodriguez
663117,2022-04-13,2022,Cleveland Guardians,Cincinnati Reds,663474,Triston McKenzie,666157,Nick Lodolo
663341,2022-04-13,2022,Houston Astros,Arizona Diamondbacks,664285,Framber Valdez,518876,Merrill Kelly
663433,2022-04-13,2022,Milwaukee Brewers,Baltimore Orioles,669203,Corbin Burnes,607644,John Means
661292,2022-04-14,2022,St. Louis Cardinals,Milwaukee Brewers,425794,Adam Wainwright,605540,Brandon Woodruff
661312,2022-04-14,2022,Toronto Blue Jays,New York Yankees,592332,Kevin Gausman,622663,Luis Severino
661418,2022-04-14,2022,Philadelphia Phillies,Miami Marlins,502043,Kyle Gibson,645261,Sandy Alcantara
661529,2022-04-14,2022,Seattle Mariners,Chicago White Sox,669302,Logan Gilbert,669424,Jimmy Lambert
661942,2022-04-14,2022,Oakland Athletics,Tampa Bay Rays,608344,Cole Irvin,676596,Josh Fleming
661993,2022-04-14,2022,Los Angeles Angels,Texas Rangers,660271,Shohei Ohtani,641540,Dane Dunning
662237,2022-04-14,2022,Atlanta Braves,San Diego Padres,450203,Charlie Morton,605397,Joe Musgrove
662307,2022-04-14,2022,Washington Nationals,Pittsburgh Pirates,672851,Joan Adon,664141,JT Brubaker
662627,2022-04-14,2022,Cincinnati Reds,Los Angeles Dodgers,570666,Luis Cessa,621111,Walker Buehler
662702,2022-04-14,2022,Detroit Tigers,Kansas City Royals,663554,Casey Mize,425844,Zack Greinke
662950,2022-04-14,2022,Chicago Cubs,Colorado Rockies,657006,Justin Steele,607536,Kyle Freeland
661267,2022-04-15,2022,St. Louis Cardinals,Milwaukee Brewers,571945,Miles Mikolas,642547,Freddy Peralta
661417,2022-04-15,2022,Philadelphia Phillies,Miami Marlins,621107,Zach Eflin,641154,Pablo López
661528,2022-04-15,2022,Tampa Bay Rays,Chicago White Sox,656876,Drew Rasmussen,656302,Dylan Cease
661792,2022-04-15,2022,Oakland Athletics,Toronto Blue Jays,641726,Daulton Jefferies,548389,Ross Stripling
662014,2022-04-15,2022,Los Angeles Angels,Texas Rangers,672282,Reid Detmers,456713,Matt Bush
662192,2022-04-15,2022,Houston Astros,Seattle Mariners,543606,Jake Odorizzi,594835,Marco Gonzales
662236,2022-04-15,2022,Atlanta Braves,San Diego Padres,657140,Kyle Wright,669022,MacKenzie Gore
662291,2022-04-15,2022,Washington Nationals,Pittsburgh Pirates,607200,Erick Fedde,656605,Mitch Keller
662485,2022-04-15,2022,Arizona Diamondbacks,New York Mets,605200,Zach Davies,605135,Chris Bassitt
662620,2022-04-15,2022,Cincinnati Reds,Los Angeles Dodgers,661269,Vladimir Gutierrez,664062,Tony Gonsolin
662701,2022-04-15,2022,Detroit Tigers,Kansas City Royals,669373,Tarik Skubal,641745,Brad Keller
662960,2022-04-15,2022,Chicago Cubs,Colorado Rockies,573186,Marcus Stroman,608566,Germán Márquez
663136,2022-04-15,2022,San Francisco Giants,Cleveland Guardians,607074,Carlos Rodón,668676,Zach Plesac
663265,2022-04-15,2022,Minnesota Twins,Boston Red Sox,657746,Joe Ryan,601713,Nick Pivetta
663357,2022-04-15,2022,New York Yankees,Baltimore Orioles,656756,Jordan Montgomery,543475,Jordan Lyles
661335,2022-04-16,2022,St. Louis Cardinals,Milwaukee Brewers,571927,Steven Matz,605288,Adrian Houser
661416,2022-04-16,2022,Philadelphia Phillies,Miami Marlins,624133,Ranger Suarez,669432,Trevor Rogers
661527,2022-04-16,2022,Tampa Bay Rays,Chicago White Sox,446372,Corey Kluber,656629,Michael Kopech
661759,2022-04-16,2022,Oakland Athletics,Toronto Blue Jays,621112,Paul Blackburn,547943,Hyun Jin Ryu
661981,2022-04-16,2022,Los Angeles Angels,Texas Rangers,592789,Noah Syndergaard,621368,Taylor Hearn
662206,2022-04-16,2022,Houston Astros,Seattle Mariners,434378,Justin Verlander,623167,Chris Flexen
662235,2022-04-16,2022,Atlanta Braves,San Diego Padres,666120,Ian Anderson,607259,Nick Martinez
662290,2022-04-16,2022,Washington Nationals,Pittsburgh Pirates,642028,Josh Rogers,669060,Bryse Wilson
662619,2022-04-16,2022,Cincinnati Reds,Los Angeles Dodgers,668881,Hunter Greene,628711,Julio Urías
662626,2022-04-16,2022,Arizona Diamondbacks,New York Mets,668678,Zac Gallen,471911,Carlos Carrasco
662798,2022-04-16,2022,Detroit Tigers,Kansas City Royals,666159,Matt Manning,663460,Kris Bubic
662966,2022-04-16,2022,Chicago Cubs,Colorado Rockies,643410,Mark Leiter Jr.,622608,Antonio Senzatela
663076,2022-04-16,2022,San Francisco Giants,Cleveland Guardians,543101,Anthony DeSclafani,615698,Cal Quantrill
663238,2022-04-16,2022,Minnesota Twins,Boston Red Sox,543243,Sonny Gray,656557,Tanner Houck
663266,2022-04-16,2022,New York Yankees,Baltimore Orioles,592791,Jameson Taillon,669330,Tyler Wells
661226,2022-04-17,2022,St. Louis Cardinals,Milwaukee Brewers,641712,Dakota Hudson,676879,Aaron Ashby
661415,2022-04-17,2022,Philadelphia Phillies,Miami Marlins,554430,Zack Wheeler,622694,Elieser Hernández
661462,2022-04-17,2022,Tampa Bay Rays,Chicago White Sox,656420,J.P. Feyereisen,592826,Vince Velasquez
661804,2022-04-17,2022,Oakland Athletics,Toronto Blue Jays,670124,Adam Oller,666201,Alek Manoah
662038,2022-04-17,2022,Los Angeles Angels,Texas Rangers,660761,José Suarez,527048,Martín Pérez
662174,2022-04-17,2022,Houston Astros,Seattle Mariners,664353,José Urquidy,666374,Matt Brash
662234,2022-04-17,2022,Atlanta Braves,San Diego Padres,693821,Bryce Elder,506433,Yu Darvish
662294,2022-04-17,2022,Washington Nationals,Pittsburgh Pirates,571578,Patrick Corbin,500779,Jose Quintana
662618,2022-04-17,2022,Cincinnati Reds,Los Angeles Dodgers,641816,Tyler Mahle,571760,Andrew Heaney
662625,2022-04-17,2022,Arizona Diamondbacks,New York Mets,528748,Humberto Castellanos,656849,David Peterson
662930,2022-04-17,2022,Chicago Cubs,Colorado Rockies,592767,Drew Smyly,596295,Austin Gomber
663132,2022-04-17,2022,San Francisco Giants,Cleveland Guardians,622072,Alex Wood,650644,Aaron Civale
663308,2022-04-17,2022,Minnesota Twins,Boston Red Sox,641927,Bailey Ober,608379,Michael Wacha
663365,2022-04-17,2022,New York Yankees,Baltimore Orioles,641482,Nestor Cortes,669145,Bruce Zimmermann
661242,2022-04-18,2022,Pittsburgh Pirates,Milwaukee Brewers,605507,Zach Thompson,641778,Eric Lauer
662233,2022-04-18,2022,Cincinnati Reds,San Diego Padres,666157,Nick Lodolo,640455,Sean Manaea
662407,2022-04-18,2022,Baltimore Orioles,Oakland Athletics,657093,Spenser Watkins,593423,Frankie Montas
662617,2022-04-18,2022,Atlanta Braves,Los Angeles Dodgers,660623,Huascar Ynoa,477132,Clayton Kershaw
662928,2022-04-18,2022,Los Angeles Angels,Houston Astros,547179,Michael Lorenzen,677651,Luis Garcia
662929,2022-04-18,2022,Philadelphia Phillies,Colorado Rockies,605400,Aaron Nola,641771,Chad Kuhl
663197,2022-04-18,2022,Tampa Bay Rays,Chicago Cubs,663556,Shane McClanahan,543294,Kyle Hendricks
663236,2022-04-18,2022,Minnesota Twins,Boston Red Sox,605164,Dylan Bundy,448179,Rich Hill
661211,2022-04-19,2022,Pittsburgh Pirates,Milwaukee Brewers,664141,JT Brubaker,669203,Corbin Burnes
661405,2022-04-19,2022,St. Louis Cardinals,Miami Marlins,425794,Adam Wainwright,666200,Jesús Luzardo
662161,2022-04-19,2022,Texas Rangers,Seattle Mariners,592351,Jon Gray,592662,Robbie Ray
662232,2022-04-19,2022,Cincinnati Reds,San Diego Padres,665665,Reiver Sanmartin,605397,Joe Musgrove
662350,2022-04-19,2022,San Francisco Giants,New York Mets,502171,Alex Cobb,656731,Tylor Megill
662406,2022-04-19,2022,Baltimore Orioles,Oakland Athletics,595939,Chris Ellis,608344,Cole Irvin
662583,2022-04-19,2022,Arizona Diamondbacks,Washington Nationals,656457,Tyler Gilbert,672851,Joan Adon
662587,2022-04-19,2022,Arizona Diamondbacks,Washington Nationals,518516,Madison Bumgarner,680686,Josiah Gray
662616,2022-04-19,2022,San Francisco Giants,New York Mets,657277,Logan Webb,453286,Max Scherzer
662717,2022-04-19,2022,Atlanta Braves,Los Angeles Dodgers,608331,Max Fried,621111,Walker Buehler
662753,2022-04-19,2022,Minnesota Twins,Kansas City Royals,502042,Chris Archer,672578,Carlos Hernández
662896,2022-04-19,2022,New York Yankees,Detroit Tigers,543037,Gerrit Cole,641302,Tyler Alexander
662925,2022-04-19,2022,Philadelphia Phillies,Colorado Rockies,502043,Kyle Gibson,607536,Kyle Freeland
662927,2022-04-19,2022,Los Angeles Angels,Houston Astros,663776,Patrick Sandoval,664285,Framber Valdez
663196,2022-04-19,2022,Tampa Bay Rays,Chicago Cubs,605538,Matt Wisler,657006,Justin Steele
663249,2022-04-19,2022,Toronto Blue Jays,Boston Red Sox,579328,Yusei Kikuchi,543135,Nathan Eovaldi
661203,2022-04-20,2022,Pittsburgh Pirates,Milwaukee Brewers,656605,Mitch Keller,605540,Brandon Woodruff
661404,2022-04-20,2022,St. Louis Cardinals,Miami Marlins,571945,Miles Mikolas,645261,Sandy Alcantara
662178,2022-04-20,2022,Texas Rangers,Seattle Mariners,641540,Dane Dunning,669302,Logan Gilbert
662231,2022-04-20,2022,Cincinnati Reds,San Diego Padres,661269,Vladimir Gutierrez,669022,MacKenzie Gore
662349,2022-04-20,2022,San Francisco Giants,New York Mets,607074,Carlos Rodón,605135,Chris Bassitt
662392,2022-04-20,2022,Baltimore Orioles,Oakland Athletics,543475,Jordan Lyles,641726,Daulton Jefferies
662560,2022-04-20,2022,Arizona Diamondbacks,Washington Nationals,518876,Merrill Kelly,607200,Erick Fedde
662703,2022-04-20,2022,Minnesota Twins,Kansas City Royals,663978,Chris Paddack,663738,Daniel Lynch IV
662734,2022-04-20,2022,Atlanta Braves,Los Angeles Dodgers,450203,Charlie Morton,664062,Tony Gonsolin
662861,2022-04-20,2022,New York Yankees,Detroit Tigers,622663,Luis Severino,593958,Eduardo Rodriguez
662924,2022-04-20,2022,Philadelphia Phillies,Colorado Rockies,621107,Zach Eflin,608566,Germán Márquez
662926,2022-04-20,2022,Los Angeles Angels,Houston Astros,660271,Shohei Ohtani,543606,Jake Odorizzi
663075,2022-04-20,2022,Chicago White Sox,Cleveland Guardians,669424,Jimmy Lambert,663474,Triston McKenzie
663094,2022-04-20,2022,Chicago White Sox,Cleveland Guardians,572971,Dallas Keuchel,669456,Shane Bieber
663146,2022-04-20,2022,Tampa Bay Rays,Chicago Cubs,656876,Drew Rasmussen,573186,Marcus Stroman
663247,2022-04-20,2022,Toronto Blue Jays,Boston Red Sox,621244,José Berríos,601713,Nick Pivetta
661391,2022-04-21,2022,St. Louis Cardinals,Miami Marlins,663855,Jordan Hicks,641154,Pablo López
662177,2022-04-21,2022,Texas Rangers,Seattle Mariners,621368,Taylor Hearn,594835,Marco Gonzales
662391,2022-04-21,2022,Baltimore Orioles,Oakland Athletics,669330,Tyler Wells,621112,Paul Blackburn
662558,2022-04-21,2022,Arizona Diamondbacks,Washington Nationals,605200,Zach Davies,642028,Josh Rogers
