feature,half,bucket,train_rows,train_scoring_rate,test_rows,test_scoring_rate,feature_min,feature_max
Pitcher scoreless 1st %,Top 1st,1,1413,0.2873319179051663,307,0.28338762214983715,14.29,61.54
Pitcher scoreless 1st %,Top 1st,2,1357,0.2579218865143699,230,0.27391304347826084,61.76,70.0
Pitcher scoreless 1st %,Top 1st,3,1350,0.2562962962962963,209,0.20574162679425836,70.37,76.92
Pitcher scoreless 1st %,Top 1st,4,1368,0.2463450292397661,269,0.22676579925650558,77.27,83.33
Pitcher scoreless 1st %,Top 1st,5,1308,0.24541284403669725,247,0.26720647773279355,83.87,100.0
Pitcher scoreless 1st %,Bottom 1st,1,1396,0.3237822349570201,307,0.3778501628664495,0.0,61.54
Pitcher scoreless 1st %,Bottom 1st,2,1345,0.32193308550185873,233,0.351931330472103,61.9,70.0
Pitcher scoreless 1st %,Bottom 1st,3,1389,0.29013678905687545,197,0.3604060913705584,70.37,76.92
Pitcher scoreless 1st %,Bottom 1st,4,1315,0.3011406844106464,254,0.2677165354330709,77.27,83.33
Pitcher scoreless 1st %,Bottom 1st,5,1331,0.29526671675432004,253,0.25296442687747034,83.87,100.0
Pitcher 1st-inning runs/start,Top 1st,1,1372,0.24489795918367346,287,0.23344947735191637,0.0,0.227
Pitcher 1st-inning runs/start,Top 1st,2,1409,0.2505322924059617,210,0.23809523809523808,0.231,0.375
Pitcher 1st-inning runs/start,Top 1st,3,1364,0.2558651026392962,234,0.23076923076923078,0.379,0.5
Pitcher 1st-inning runs/start,Top 1st,4,1317,0.2589217919514047,241,0.26141078838174275,0.516,0.7
Pitcher 1st-inning runs/start,Top 1st,5,1334,0.2856071964017991,290,0.296551724137931,0.704,3.2
Pitcher 1st-inning runs/start,Bottom 1st,1,1363,0.29273661041819515,277,0.24548736462093862,0.0,0.222
Pitcher 1st-inning runs/start,Bottom 1st,2,1412,0.29390934844192634,225,0.3511111111111111,0.226,0.375
Pitcher 1st-inning runs/start,Bottom 1st,3,1377,0.289760348583878,228,0.31140350877192985,0.379,0.5
Pitcher 1st-inning runs/start,Bottom 1st,4,1282,0.32683307332293293,237,0.37130801687763715,0.516,0.7
Pitcher 1st-inning runs/start,Bottom 1st,5,1342,0.3315946348733234,277,0.34296028880866425,0.704,2.6
Offense 1st-inning scoring %,Top 1st,1,1836,0.25272331154684097,368,0.27445652173913043,0.0,23.81
Offense 1st-inning scoring %,Top 1st,2,1817,0.27242707760044027,217,0.3087557603686636,23.84,27.33
Offense 1st-inning scoring %,Top 1st,3,1826,0.2475355969331873,234,0.2606837606837607,27.34,30.0
Offense 1st-inning scoring %,Top 1st,4,1818,0.2717271727172717,525,0.26285714285714284,30.07,34.07
Offense 1st-inning scoring %,Top 1st,5,1823,0.28359846407021394,425,0.24,34.09,70.0
Offense 1st-inning scoring %,Bottom 1st,1,1827,0.29009304871373837,345,0.2927536231884058,5.0,23.68
Offense 1st-inning scoring %,Bottom 1st,2,1884,0.30095541401273884,254,0.33858267716535434,23.71,27.27
Offense 1st-inning scoring %,Bottom 1st,3,1760,0.29318181818181815,225,0.3244444444444444,27.33,29.92
Offense 1st-inning scoring %,Bottom 1st,4,1836,0.3093681917211329,544,0.34191176470588236,29.93,34.15
Offense 1st-inning scoring %,Bottom 1st,5,1807,0.3359158826784726,401,0.3266832917705736,34.16,69.23
Offense 1st-inning runs/game,Top 1st,1,1832,0.25436681222707425,330,0.26666666666666666,0.0,0.408
Offense 1st-inning runs/game,Top 1st,2,1829,0.2531437944231821,183,0.3333333333333333,0.409,0.478
Offense 1st-inning runs/game,Top 1st,3,1842,0.26112920738327905,327,0.27217125382262997,0.479,0.543
Offense 1st-inning runs/game,Top 1st,4,1793,0.27718906860011155,582,0.24742268041237114,0.544,0.638
Offense 1st-inning runs/game,Top 1st,5,1824,0.28234649122807015,347,0.2507204610951009,0.639,2.1
Offense 1st-inning runs/game,Bottom 1st,1,1828,0.28665207877461707,301,0.2724252491694352,0.091,0.406
Offense 1st-inning runs/game,Bottom 1st,2,1833,0.298417894162575,192,0.2916666666666667,0.407,0.475
Offense 1st-inning runs/game,Bottom 1st,3,1826,0.30394304490690033,360,0.36944444444444446,0.476,0.541
Offense 1st-inning runs/game,Bottom 1st,4,1809,0.3150912106135987,584,0.3441780821917808,0.542,0.638
Offense 1st-inning runs/game,Bottom 1st,5,1818,0.3256325632563256,332,0.31626506024096385,0.639,1.846
Home/Away split scoring %,Top 1st,1,1994,0.26028084252758277,327,0.308868501529052,0.0,20.0
Home/Away split scoring %,Top 1st,2,1653,0.2516636418632789,338,0.24260355029585798,20.25,24.56
Home/Away split scoring %,Top 1st,3,1937,0.26587506453278265,394,0.2512690355329949,24.59,28.57
Home/Away split scoring %,Top 1st,4,1831,0.2523211359912616,395,0.25316455696202533,28.75,33.33
Home/Away split scoring %,Top 1st,5,1703,0.2947739283617146,315,0.26666666666666666,33.75,100.0
Home/Away split scoring %,Bottom 1st,1,1832,0.29366812227074235,332,0.3042168674698795,0.0,22.95
Home/Away split scoring %,Bottom 1st,2,1816,0.2736784140969163,285,0.3333333333333333,22.97,27.91
Home/Away split scoring %,Bottom 1st,3,2157,0.31247102457116366,427,0.36768149882903983,27.94,33.33
