Feature,Holdout season,Train seasons,Minimum prior sample,Test rows,Coverage %,Baseline Brier,Feature Brier,Brier improvement,Low bucket scoring %,High bucket scoring %,High-low spread pp,Beat baseline
Home/Away split runs/game,2023,2022,5,4560,93.83,0.20736,0.207293,6.7e-05,26.09,30.19,4.1,1
Home/Away split runs/game,2024,"2022,2023",5,4555,93.76,0.198801,0.198762,3.9e-05,26.63,28.94,2.31,1
Home/Away split runs/game,2025,"2022,2023,2024",5,4560,93.83,0.208194,0.208571,-0.000377,29.51,30.63,1.12,0
Home/Away split runs/game,2026,"2022,2023,2024,2025",5,3538,92.18,0.207132,0.207108,2.4e-05,28.57,29.1,0.53,1
Home/Away split scoring %,2023,2022,5,4560,93.83,0.20736,0.207107,0.000254,28.59,31.37,2.78,1
Home/Away split scoring %,2024,"2022,2023",5,4555,93.76,0.198801,0.198208,0.000593,26.92,30.81,3.89,1
Home/Away split scoring %,2025,"2022,2023,2024",5,4560,93.83,0.208194,0.208455,-0.000261,28.55,31.2,2.66,0
Home/Away split scoring %,2026,"2022,2023,2024,2025",5,3538,92.18,0.207132,0.207333,-0.000201,30.65,30.39,-0.26,0
Offense 1st-inning runs/game,2023,2022,10,4560,93.83,0.207491,0.2075,-9e-06,29.54,31.51,1.97,0
Offense 1st-inning runs/game,2024,"2022,2023",10,4558,93.82,0.199944,0.199844,0.0001,26.61,32.07,5.45,1
Offense 1st-inning runs/game,2025,"2022,2023,2024",10,4560,93.83,0.207709,0.20776,-5.1e-05,28.6,29.68,1.08,0
Offense 1st-inning runs/game,2026,"2022,2023,2024,2025",10,3538,92.18,0.207514,0.207633,-0.000119,26.94,28.28,1.34,0
Offense 1st-inning scoring %,2023,2022,10,4560,93.83,0.207491,0.207247,0.000243,27.61,31.64,4.03,1
Offense 1st-inning scoring %,2024,"2022,2023",10,4558,93.82,0.199944,0.200064,-0.00012,26.1,32.23,6.14,0
Offense 1st-inning scoring %,2025,"2022,2023,2024",10,4560,93.83,0.207709,0.207804,-9.5e-05,30.79,30.42,-0.37,0
Offense 1st-inning scoring %,2026,"2022,2023,2024,2025",10,3538,92.18,0.207514,0.207665,-0.000151,28.33,28.21,-0.12,0
Pitcher 1st-inning runs/start,2023,2022,5,3348,68.89,0.206648,0.207491,-0.000843,27.3,32.97,5.67,0
Pitcher 1st-inning runs/start,2024,"2022,2023",5,3385,69.68,0.196796,0.197246,-0.000451,25.75,28.82,3.07,0
Pitcher 1st-inning runs/start,2025,"2022,2023,2024",5,3405,70.06,0.206952,0.206624,0.000328,28.15,34.55,6.39,1
Pitcher 1st-inning runs/start,2026,"2022,2023,2024,2025",5,2506,65.29,0.203889,0.203289,0.0006,23.94,31.92,7.99,1
Pitcher scoreless 1st %,2023,2022,5,3348,68.89,0.206648,0.206384,0.000264,30.73,29.32,-1.41,1
Pitcher scoreless 1st %,2024,"2022,2023",5,3385,69.68,0.196796,0.197166,-0.00037,29.86,26.02,-3.84,0
Pitcher scoreless 1st %,2025,"2022,2023,2024",5,3405,70.06,0.206952,0.207227,-0.000275,30.51,26.26,-4.25,0
Pitcher scoreless 1st %,2026,"2022,2023,2024,2025",5,2506,65.29,0.203889,0.203406,0.000483,33.06,26.0,-7.06,1
