game_pk,date,season,away_team_id,away_team,home_team_id,home_team,venue_id,venue_name,away_1st_runs,home_1st_runs,top_1st_scored,bottom_1st_scored,nrfi,yrfi,total_1st_runs
661042,2022-04-07,2022,117,Houston Astros,108,Los Angeles Angels,1,Angel Stadium,0,0,0,0,1,0,0
661577,2022-04-07,2022,113,Cincinnati Reds,144,Atlanta Braves,4705,Truist Park,0,0,0,0,1,0,0
662021,2022-04-07,2022,134,Pittsburgh Pirates,138,St. Louis Cardinals,2889,Busch Stadium,0,1,0,1,0,1,1
662571,2022-04-07,2022,121,New York Mets,120,Washington Nationals,3309,Nationals Park,0,0,0,0,1,0,0
662766,2022-04-07,2022,114,Cleveland Guardians,118,Kansas City Royals,7,Kauffman Stadium,0,0,0,0,1,0,0
663178,2022-04-07,2022,158,Milwaukee Brewers,112,Chicago Cubs,17,Wrigley Field,0,0,0,0,1,0,0
663418,2022-04-07,2022,135,San Diego Padres,109,Arizona Diamondbacks,15,Chase Field,0,0,0,0,1,0,0
661041,2022-04-08,2022,117,Houston Astros,108,Los Angeles Angels,1,Angel Stadium,1,2,1,1,0,1,3
661131,2022-04-08,2022,133,Oakland Athletics,143,Philadelphia Phillies,2681,Citizens Bank Park,0,1,0,1,0,1,1
661333,2022-04-08,2022,111,Boston Red Sox,147,New York Yankees,3313,Yankee Stadium,3,2,1,1,0,1,5
661576,2022-04-08,2022,113,Cincinnati Reds,144,Atlanta Braves,4705,Truist Park,0,0,0,0,1,0,0
661750,2022-04-08,2022,136,Seattle Mariners,142,Minnesota Twins,3312,Target Field,2,0,1,0,0,1,2
661782,2022-04-08,2022,140,Texas Rangers,141,Toronto Blue Jays,14,Rogers Centre,4,0,1,0,0,1,4
661918,2022-04-08,2022,110,Baltimore Orioles,139,Tampa Bay Rays,12,Tropicana Field,0,0,0,0,1,0,0
662124,2022-04-08,2022,146,Miami Marlins,137,San Francisco Giants,2395,Oracle Park,0,0,0,0,1,0,0
662559,2022-04-08,2022,121,New York Mets,120,Washington Nationals,3309,Nationals Park,0,0,0,0,1,0,0
662888,2022-04-08,2022,145,Chicago White Sox,116,Detroit Tigers,2394,Comerica Park,1,0,1,0,0,1,1
662933,2022-04-08,2022,119,Los Angeles Dodgers,115,Colorado Rockies,19,Coors Field,0,0,0,0,1,0,0
663417,2022-04-08,2022,135,San Diego Padres,109,Arizona Diamondbacks,15,Chase Field,0,0,0,0,1,0,0
661040,2022-04-09,2022,117,Houston Astros,108,Los Angeles Angels,1,Angel Stadium,0,0,0,0,1,0,0
661130,2022-04-09,2022,133,Oakland Athletics,143,Philadelphia Phillies,2681,Citizens Bank Park,0,2,0,1,0,1,2
661332,2022-04-09,2022,111,Boston Red Sox,147,New York Yankees,3313,Yankee Stadium,0,0,0,0,1,0,0
661575,2022-04-09,2022,113,Cincinnati Reds,144,Atlanta Braves,4705,Truist Park,0,2,0,1,0,1,2
661756,2022-04-09,2022,136,Seattle Mariners,142,Minnesota Twins,3312,Target Field,0,1,0,1,0,1,1
661803,2022-04-09,2022,140,Texas Rangers,141,Toronto Blue Jays,14,Rogers Centre,0,2,0,1,0,1,2
