Model,Holdout season,Train seasons,Test rows,Baseline Brier,Model Brier,Brier improvement,Beat baseline
All first-inning history,2023,2022,4860,0.20826,0.208385,-0.000125,0
All first-inning history,2024,"2022,2023",4858,0.199418,0.199132,0.000285,1
All first-inning history,2025,"2022,2023,2024",4860,0.208096,0.20833,-0.000233,0
All first-inning history,2026,"2022,2023,2024,2025",3838,0.206473,0.206323,0.00015,1
Home/Away split combo,2023,2022,4860,0.20826,0.208225,3.5e-05,1
Home/Away split combo,2024,"2022,2023",4858,0.199418,0.199242,0.000176,1
Home/Away split combo,2025,"2022,2023,2024",4860,0.208096,0.208205,-0.000108,0
Home/Away split combo,2026,"2022,2023,2024,2025",3838,0.206473,0.206609,-0.000135,0
Offense history combo,2023,2022,4860,0.20826,0.208116,0.000144,1
Offense history combo,2024,"2022,2023",4858,0.199418,0.199248,0.000169,1
Offense history combo,2025,"2022,2023,2024",4860,0.208096,0.208323,-0.000227,0
Offense history combo,2026,"2022,2023,2024,2025",3838,0.206473,0.206609,-0.000136,0
Pitcher + offense,2023,2022,4860,0.20826,0.208188,7.2e-05,1
Pitcher + offense,2024,"2022,2023",4858,0.199418,0.1991,0.000318,1
Pitcher + offense,2025,"2022,2023,2024",4860,0.208096,0.208188,-9.1e-05,0
Pitcher + offense,2026,"2022,2023,2024,2025",3838,0.206473,0.206289,0.000185,1
Pitcher history combo,2023,2022,4860,0.20826,0.208248,1.2e-05,1
Pitcher history combo,2024,"2022,2023",4858,0.199418,0.199278,0.00014,1
Pitcher history combo,2025,"2022,2023,2024",4860,0.208096,0.208071,2.5e-05,1
Pitcher history combo,2026,"2022,2023,2024,2025",3838,0.206473,0.206209,0.000264,1
Pitcher runs only,2023,2022,4860,0.20826,0.208115,0.000145,1
Pitcher runs only,2024,"2022,2023",4858,0.199418,0.199252,0.000166,1
Pitcher runs only,2025,"2022,2023,2024",4860,0.208096,0.207936,0.00016,1
Pitcher runs only,2026,"2022,2023,2024,2025",3838,0.206473,0.2062,0.000273,1
Pitcher scoreless only,2023,2022,4860,0.20826,0.20816,9.9e-05,1
Pitcher scoreless only,2024,"2022,2023",4858,0.199418,0.199195,0.000223,1
Pitcher scoreless only,2025,"2022,2023,2024",4860,0.208096,0.20815,-5.3e-05,0
Pitcher scoreless only,2026,"2022,2023,2024,2025",3838,0.206473,0.206184,0.000289,1
