holdout_year,model,rows,baseline_brier,model_brier,brier_improvement_vs_baseline,brier_improvement_vs_pa_control
2023,PA only control,4860,0.2082597503768057,0.20791821966322402,0.00034153071358167253,0.0
2023,xwOBA + PA,4860,0.2082597503768057,0.20724922990122846,0.0010105204755772312,0.0006689897619955587
2023,K% + PA,4860,0.2082597503768057,0.2074622634533715,0.0007974869234342041,0.0004559562098525316
2023,BB% + PA,4860,0.2082597503768057,0.207970062928241,0.0002896874485646961,-5.184326501697645e-05
2023,Barrel% + PA,4860,0.2082597503768057,0.20771025242921773,0.0005494979475879624,0.00020796723400628991
2023,All 4 pitcher skill + PA,4860,0.2082597503768057,0.20738733626199815,0.0008724141148075404,0.0005308834012258679
2024,PA only control,4858,0.19941795763419712,0.19948402821331193,-6.607057911481307e-05,0.0
2024,xwOBA + PA,4858,0.19941795763419712,0.19945124102645623,-3.3283392259109146e-05,3.278718685570392e-05
2024,K% + PA,4858,0.19941795763419712,0.19949863046483407,-8.067283063695196e-05,-1.4602251522138898e-05
2024,BB% + PA,4858,0.19941795763419712,0.1994312408878421,-1.3283253644968962e-05,5.2787325469844104e-05
2024,Barrel% + PA,4858,0.19941795763419712,0.19952471583585232,-0.00010675820165520489,-4.068762254039182e-05
2024,All 4 pitcher skill + PA,4858,0.19941795763419712,0.19952363136491033,-0.00010567373071321273,-3.9603151598399666e-05
2025,PA only control,4860,0.20809640549713926,0.20836281512170654,-0.000266409624567282,0.0
2025,xwOBA + PA,4860,0.20809640549713926,0.20794050506014683,0.00015590043699242884,0.00042231006155971085
2025,K% + PA,4860,0.20809640549713926,0.20781198154936323,0.0002844239477760302,0.0005508335723433122
2025,BB% + PA,4860,0.20809640549713926,0.2083653889429514,-0.0002689834458121376,-2.573821244855612e-06
2025,Barrel% + PA,4860,0.20809640549713926,0.20823986892763247,-0.00014346343049320698,0.00012294619407407503
2025,All 4 pitcher skill + PA,4860,0.20809640549713926,0.20770458903521857,0.0003918164619206854,0.0006582260864879674
2026,PA only control,3838,0.20647322892678152,0.20653071900947678,-5.749008269526068e-05,0.0
2026,xwOBA + PA,3838,0.20647322892678152,0.2057833855157327,0.0006898434110488294,0.0007473334937440901
2026,K% + PA,3838,0.20647322892678152,0.20564522771112284,0.0008280012156586802,0.0008854912983539409
2026,BB% + PA,3838,0.20647322892678152,0.20670183692252977,-0.0002286079957482534,-0.00017111791305299273
2026,Barrel% + PA,3838,0.20647322892678152,0.20622445299700545,0.00024877592977606833,0.000306266012471329
2026,All 4 pitcher skill + PA,3838,0.20647322892678152,0.2055710812940203,0.0009021476327612243,0.000959637715456485
