game_pk,date,season,away_team,home_team,away_method,home_method,away_top4_complete,home_top4_complete,away_b1_id,away_b1_name,away_b2_id,away_b2_name,away_b3_id,away_b3_name,away_b4_id,away_b4_name,home_b1_id,home_b1_name,home_b2_id,home_b2_name,home_b3_id,home_b3_name,home_b4_id,home_b4_name
661042,2022-04-07,2022,Houston Astros,Los Angeles Angels,player_battingOrder,player_battingOrder,1,1,514888,Jose Altuve,488726,Michael Brantley,608324,Alex Bregman,670541,Yordan Alvarez,660271,Shohei Ohtani,545361,Mike Trout,543685,Anthony Rendon,622110,Matt Duffy
661577,2022-04-07,2022,Cincinnati Reds,Atlanta Braves,player_battingOrder,player_battingOrder,1,1,663697,Jonathan India,606157,Aristides Aquino,502054,Tommy Pham,458015,Joey Votto,592696,Eddie Rosario,621566,Matt Olson,663586,Austin Riley,542303,Marcell Ozuna
662021,2022-04-07,2022,Pittsburgh Pirates,St. Louis Cardinals,player_battingOrder,player_battingOrder,1,1,596129,Daniel Vogelbach,668804,Bryan Reynolds,663647,Ke'Bryan Hayes,660294,Yoshi Tsutsugo,666185,Dylan Carlson,502671,Paul Goldschmidt,641933,Tyler O'Neill,571448,Nolan Arenado
662571,2022-04-07,2022,New York Mets,Washington Nationals,player_battingOrder,player_battingOrder,1,1,516782,Starling Marte,605204,J.D. Davis,596019,Francisco Lindor,624413,Pete Alonso,514917,César Hernández,665742,Juan Soto,443558,Nelson Cruz,605137,Josh Bell
662766,2022-04-07,2022,Cleveland Guardians,Kansas City Royals,player_battingOrder,player_battingOrder,1,1,664702,Myles Straw,642708,Amed Rosario,608070,José Ramírez,614177,Franmil Reyes,593160,Whit Merrifield,677951,Bobby Witt Jr.,643217,Andrew Benintendi,521692,Salvador Perez
663178,2022-04-07,2022,Milwaukee Brewers,Chicago Cubs,player_battingOrder,player_battingOrder,1,1,543939,Kolten Wong,642715,Willy Adames,592885,Christian Yelich,457705,Andrew McCutchen,542364,Rafael Ortega,663611,Nick Madrigal,575929,Willson Contreras,664023,Ian Happ
663418,2022-04-07,2022,San Diego Padres,Arizona Diamondbacks,player_battingOrder,player_battingOrder,1,1,543592,Austin Nola,592518,Manny Machado,630105,Jake Cronenworth,572228,Luke Voit,662139,Daulton Varsho,606466,Ketel Marte,444482,David Peralta,572233,Christian Walker
661041,2022-04-08,2022,Houston Astros,Los Angeles Angels,player_battingOrder,player_battingOrder,1,1,514888,Jose Altuve,488726,Michael Brantley,608324,Alex Bregman,670541,Yordan Alvarez,660271,Shohei Ohtani,545361,Mike Trout,543685,Anthony Rendon,665120,Jared Walsh
661131,2022-04-08,2022,Oakland Athletics,Philadelphia Phillies,player_battingOrder,player_battingOrder,1,1,643393,Tony Kemp,641856,Billy McKinney,669221,Sean Murphy,640461,Chad Pinder,656941,Kyle Schwarber,592663,J.T. Realmuto,547180,Bryce Harper,592206,Nick Castellanos
661333,2022-04-08,2022,Boston Red Sox,New York Yankees,player_battingOrder,player_battingOrder,1,1,571771,Enrique Hernández,646240,Rafael Devers,593428,Xander Bogaerts,502110,J.D. Martinez,518626,Josh Donaldson,592450,Aaron Judge,519203,Anthony Rizzo,519317,Giancarlo Stanton
