game_date,batter,pa,strikeouts,walks,xwoba_num,xwoba_denom,bbe,barrels
2023-03-30,408234,4,0,0,0.915,4.0,4,0
2023-03-30,444482,4,0,0,2.2,4.0,4,0
2023-03-30,446334,3,0,0,0.213,3.0,3,0
2023-03-30,453568,5,1,0,1.5139999999999998,5.0,4,0
2023-03-30,455117,3,1,0,0.8498,3.0,2,0
2023-03-30,456781,2,0,0,1.217,2.0,2,0
2023-03-30,457705,5,0,3,3.0387090000000003,5.0,2,0
2023-03-30,457759,5,1,1,1.459903,5.0,3,0
2023-03-30,462101,4,0,0,1.087,4.0,4,0
2023-03-30,467793,5,2,1,0.749903,5.0,2,0
2023-03-30,474832,4,2,0,0.692,4.0,2,0
2023-03-30,500743,4,0,0,0.879,4.0,4,0
2023-03-30,500871,4,2,0,1.201,4.0,2,0
2023-03-30,502054,2,1,0,0.109,2.0,1,0
2023-03-30,502110,4,1,0,1.0270000000000001,4.0,3,0
2023-03-30,502671,5,1,1,2.330903,5.0,3,0
2023-03-30,516416,4,1,1,0.8389030000000001,4.0,2,0
2023-03-30,516782,5,0,1,1.943903,5.0,4,0
2023-03-30,518595,5,1,0,2.491,5.0,4,1
2023-03-30,518626,4,2,0,0.416,4.0,2,0
2023-03-30,518692,5,1,1,2.929903,5.0,3,0
2023-03-30,518735,4,0,0,1.5458297872340423,4.0,4,1
2023-03-30,518934,4,3,0,0.626,4.0,1,0
2023-03-30,519203,4,1,0,0.8049999999999999,4.0,3,0
2023-03-30,519317,4,1,0,0.498,4.0,3,0
2023-03-30,521692,4,1,0,0.9390000000000001,4.0,3,0
2023-03-30,527038,4,1,1,1.4359030000000002,4.0,2,0
2023-03-30,541645,3,0,1,0.7039030000000001,3.0,2,0
2023-03-30,542194,3,0,1,1.1635696666666666,3.0,2,0
2023-03-30,542303,4,0,0,0.543,4.0,4,0
2023-03-30,542583,4,2,1,0.0,3.0,1,0
2023-03-30,542932,1,1,0,0.0,1.0,0,0
2023-03-30,543063,3,2,0,0.031,3.0,1,0
2023-03-30,543068,5,1,0,3.3714117647058823,5.0,4,2
2023-03-30,543228,4,0,0,0.365,4.0,4,0
2023-03-30,543257,4,1,1,2.1669744285714287,4.0,2,1
2023-03-30,543333,4,0,0,0.483,4.0,4,0
2023-03-30,543543,4,2,0,1.7310892857142859,4.0,2,1
2023-03-30,543592,4,1,1,1.2669030000000001,4.0,2,0
2023-03-30,543685,4,2,1,0.7269030000000001,4.0,1,0
2023-03-30,543760,5,1,0,1.225,5.0,4,0
2023-03-30,543807,6,1,0,3.067,6.0,5,0
2023-03-30,543877,4,1,0,1.112,4.0,3,0
2023-03-30,543939,4,0,0,2.026005,4.0,3,0
2023-03-30,545361,4,0,1,2.966403,4.0,3,0
2023-03-30,547379,2,1,0,0.793,2.0,1,0
2023-03-30,547989,4,1,0,0.6759999999999999,4.0,3,0
2023-03-30,553869,5,2,1,1.3959030000000001,5.0,2,0
2023-03-30,553882,4,0,1,1.732903,4.0,3,0
2023-03-30,553993,3,1,0,0.5690833333333334,3.0,2,0
2023-03-30,570482,4,1,0,0.6876666666666666,4.0,3,0
2023-03-30,570731,3,2,1,0.695903,3.0,0,0
2023-03-30,571448,5,0,0,1.5968888888888886,5.0,5,1
2023-03-30,571657,2,0,1,1.211903,2.0,1,0
2023-03-30,571771,3,1,0,0.28400000000000003,3.0,2,0
2023-03-30,571970,5,5,0,0.0,5.0,0,0
2023-03-30,571976,4,2,1,1.261903,4.0,1,0
2023-03-30,572191,4,3,0,0.711,4.0,1,0
2023-03-30,572233,3,0,0,0.635,3.0,3,0
2023-03-30,572287,3,2,0,0.04,3.0,1,0
2023-03-30,572761,4,0,0,2.0752499999999996,4.0,3,1
2023-03-30,572816,1,0,0,0.209,1.0,1,0
2023-03-30,573262,2,2,0,0.0,2.0,0,0
2023-03-30,575929,4,1,0,1.121,4.0,3,0
2023-03-30,592178,5,0,0,1.69,5.0,5,0
2023-03-30,592192,4,0,0,0.983005,4.0,3,0
2023-03-30,592206,5,3,0,0.97,5.0,2,0
2023-03-30,592273,4,1,0,1.082,4.0,3,0
2023-03-30,592450,4,2,0,2.5400294117647064,4.0,2,1
2023-03-30,592518,4,2,0,0.27099999999999996,4.0,2,0
2023-03-30,592626,4,3,1,0.695903,4.0,0,0
2023-03-30,592663,5,1,0,3.0799264705882345,5.0,4,1
2023-03-30,592669,4,1,0,0.767,4.0,3,0
2023-03-30,592885,4,1,2,1.5528060000000001,4.0,1,0
2023-03-30,593160,5,2,2,1.4598060000000002,5.0,1,0
2023-03-30,593428,4,1,0,1.7469999999999999,4.0,3,0
2023-03-30,594807,5,2,0,2.3376365789473685,5.0,2,1
2023-03-30,595281,5,1,0,0.9590000000000001,5.0,4,0
2023-03-30,595879,4,1,1,1.678903,4.0,2,0
2023-03-30,595909,4,2,0,2.034593171296296,4.0,2,2
2023-03-30,595978,4,1,1,0.7609030000000001,3.0,2,0
2023-03-30,596019,5,1,0,1.6579285714285714,5.0,4,0
2023-03-30,596129,2,0,1,1.057903,2.0,1,0
2023-03-30,596146,5,1,0,0.478,5.0,4,0
2023-03-30,600303,3,0,0,0.548,3.0,3,0
2023-03-30,600869,4,1,1,1.359903,4.0,2,0
2023-03-30,602074,5,4,0,0.603,5.0,1,0
2023-03-30,602104,5,0,0,2.877359166666667,5.0,4,1
2023-03-30,605113,3,2,0,0.891,3.0,1,0
2023-03-30,605119,3,1,1,1.261903,3.0,1,0
2023-03-30,605137,4,0,0,1.544,4.0,4,0
2023-03-30,605141,5,3,1,0.698903,5.0,1,0
2023-03-30,605204,2,2,0,0.0,2.0,0,0
2023-03-30,605612,5,2,0,1.1099999999999999,5.0,3,0
2023-03-30,606115,5,1,1,1.667903,5.0,3,0
2023-03-30,606132,1,0,1,0.695903,1.0,0,0
2023-03-30,606192,4,2,0,0.28900000000000003,4.0,2,0
2023-03-30,606466,4,0,0,1.8480050000000001,4.0,3,0
2023-03-30,606992,4,0,0,0.365,4.0,4,0
2023-03-30,607043,5,0,1,2.737903,5.0,4,0
2023-03-30,607054,3,1,0,0.9189473684210527,3.0,2,0
2023-03-30,607208,5,1,1,0.13,4.0,3,0
2023-03-30,607461,1,1,0,0.0,1.0,0,0
2023-03-30,607732,3,2,0,0.8554761904761905,3.0,1,1
2023-03-30,608070,4,1,0,1.2229999999999999,4.0,3,0
2023-03-30,608324,4,2,0,0.26,4.0,2,0
2023-03-30,608336,2,1,0,0.208,2.0,1,0
2023-03-30,608369,5,0,2,2.4608060000000003,5.0,3,0
2023-03-30,608385,4,3,0,0.332,4.0,1,0
2023-03-30,608841,5,0,0,2.6470000000000002,5.0,5,0
2023-03-30,613564,4,1,0,0.608,4.0,3,0
2023-03-30,614177,4,3,0,0.079,4.0,1,0
2023-03-30,621020,4,0,0,2.6243437499999995,4.0,4,1
2023-03-30,621043,5,0,0,1.9844761904761905,5.0,5,1
2023-03-30,621311,4,2,0,0.8201764705882353,4.0,2,0
2023-03-30,621439,5,1,0,1.363,5.0,4,0
2023-03-30,621493,4,1,0,0.724,4.0,3,0
2023-03-30,621550,4,1,1,1.148903,4.0,2,0
2023-03-30,621563,2,0,0,0.14200000000000002,2.0,2,0
2023-03-30,621566,5,2,0,3.196728888888889,5.0,3,2
2023-03-30,622534,3,1,0,0.109,3.0,2,0
2023-03-30,622761,5,0,1,2.2039030000000004,4.0,4,0
2023-03-30,623912,2,1,0,0.003,2.0,1,0
2023-03-30,623993,6,2,0,2.202,6.0,4,0
2023-03-30,624413,5,1,1,0.940903,5.0,3,0
2023-03-30,624414,4,1,0,1.034,4.0,3,0
2023-03-30,624415,1,0,1,0.695903,1.0,0,0
2023-03-30,624424,4,2,0,0.73,3.0,1,0
