game_date,pitcher,pa,strikeouts,walks,xwoba_num,xwoba_denom,bbe,barrels
2024-03-20,506433,17,3,3,4.913393,17.0,11,0
2024-03-20,518489,3,1,0,0.41,3.0,2,0
2024-03-20,523260,4,0,0,1.8401818181818181,4.0,4,1
2024-03-20,543339,4,1,0,1.081,4.0,3,0
2024-03-20,593974,5,1,2,1.9222031764705882,5.0,2,0
2024-03-20,607192,20,3,4,6.235746222222223,20.0,13,1
2024-03-20,623465,3,1,0,0.296,3.0,2,0
2024-03-20,660853,3,1,0,0.411,3.0,2,0
2024-03-20,666745,3,0,1,1.9211310000000001,3.0,2,0
2024-03-20,669093,6,1,2,2.5962620000000003,6.0,3,0
2024-03-20,670970,4,0,0,2.4348461538461534,4.0,4,1
2024-03-20,673513,3,1,1,0.9561310000000001,3.0,1,0
2024-03-20,676680,4,0,0,1.869192,4.0,3,0
2024-03-21,605397,17,2,2,9.096053023842918,17.0,13,1
2024-03-21,642232,9,1,2,2.1972620000000003,9.0,6,0
2024-03-21,650633,17,5,3,5.573238833333334,17.0,9,1
2024-03-21,656420,7,1,1,3.24872475,7.0,5,1
2024-03-21,663158,5,2,0,0.478,5.0,3,0
2024-03-21,663568,4,0,1,1.7473230000000002,4.0,2,0
2024-03-21,669165,9,0,1,4.939772509433963,9.0,8,1
2024-03-21,673513,4,0,0,2.433714285714286,4.0,4,1
2024-03-21,675627,13,2,0,5.4065045000000005,13.0,10,1
2024-03-21,676680,3,0,0,1.6668571428571428,3.0,3,0
2024-03-21,681402,1,0,0,0.065,1.0,1,0
2024-03-21,681911,5,2,1,1.375131,5.0,2,0
2024-03-21,808967,9,2,1,3.8466563333333337,9.0,5,1
2024-03-28,445276,4,2,1,1.277131,4.0,1,0
2024-03-28,455119,4,2,0,0.32,4.0,2,0
2024-03-28,489446,3,1,0,0.14500000000000002,3.0,2,0
2024-03-28,502085,5,1,2,0.790131,4.0,2,0
2024-03-28,506433,20,7,1,5.978881,20.0,12,1
2024-03-28,519008,3,1,0,0.41800000000000004,3.0,2,0
2024-03-28,519151,6,1,1,2.1264002307692307,6.0,4,0
2024-03-28,542585,6,0,2,4.134445333333333,6.0,4,1
2024-03-28,542888,7,2,2,2.417262,7.0,3,0
2024-03-28,543135,22,3,1,7.5694106623376625,22.0,17,2
2024-03-28,543518,4,1,1,1.0161310000000001,4.0,2,0
2024-03-28,547184,12,1,2,5.411354,12.0,8,0
2024-03-28,547973,3,1,0,0.131,3.0,2,0
2024-03-28,570257,4,2,0,1.9753636363636367,4.0,2,1
2024-03-28,571670,4,1,0,1.094,4.0,3,0
2024-03-28,571945,20,5,2,7.5711247450980395,20.0,13,2
2024-03-28,571946,3,1,0,0.624,3.0,2,0
2024-03-28,592426,3,0,1,1.976131,3.0,2,0
2024-03-28,592767,5,0,2,2.184262,5.0,3,0
2024-03-28,592779,4,0,0,1.765,4.0,4,0
2024-03-28,593423,21,4,0,3.478,21.0,17,0
2024-03-28,593576,5,1,1,1.111,4.0,3,0
2024-03-28,598264,3,0,0,0.079,3.0,3,0
2024-03-28,600917,5,1,2,2.249262,5.0,2,0
2024-03-28,605177,4,2,0,0.20800000000000002,4.0,2,0
2024-03-28,605280,5,0,0,2.037,5.0,5,0
2024-03-28,605463,4,1,1,0.787131,4.0,2,0
2024-03-28,606160,4,0,0,1.3271818181818182,4.0,4,1
2024-03-28,607192,22,5,1,5.23659611627907,22.0,16,2
2024-03-28,607536,17,2,1,9.447070068100357,17.0,14,2
2024-03-28,608678,3,0,0,0.706,3.0,3,0
2024-03-28,608717,7,1,2,2.7172620000000003,7.0,4,0
2024-03-28,608718,6,4,0,0.788,6.0,2,0
2024-03-28,608723,5,1,0,0.822,5.0,4,0
2024-03-28,612434,3,1,0,0.465,3.0,2,0
2024-03-28,621107,25,5,1,8.61237438339921,25.0,18,3
2024-03-28,621244,24,6,1,6.6451493066361556,22.0,15,1
2024-03-28,621366,4,2,0,0.857,4.0,2,0
2024-03-28,622072,18,3,1,6.469081620689655,18.0,13,1
2024-03-28,622075,3,0,0,2.3262142857142853,3.0,3,1
2024-03-28,622250,5,2,0,1.524,5.0,3,0
2024-03-28,622253,6,1,2,1.907262,6.0,3,0
2024-03-28,622491,24,5,2,7.774784727272727,23.0,16,1
2024-03-28,623352,3,3,0,0.0,3.0,0,0
2024-03-28,623433,4,0,0,1.327,4.0,4,0
2024-03-28,640470,4,0,1,2.4205447931034483,4.0,3,1
2024-03-28,641154,24,7,0,6.136092929292929,24.0,17,3
2024-03-28,641482,22,5,2,7.443119142857143,22.0,15,1
2024-03-28,641656,3,1,0,1.017,3.0,2,0
2024-03-28,641835,4,2,0,1.4609615384615384,4.0,2,1
2024-03-28,641941,5,1,0,2.2411499999999998,5.0,4,0
2024-03-28,642048,5,1,0,1.694,5.0,4,0
2024-03-28,642232,10,1,0,1.376,10.0,9,0
2024-03-28,642528,10,1,0,3.4690000000000003,10.0,9,0
2024-03-28,643256,3,0,0,1.010037037037037,3.0,3,1
2024-03-28,643377,4,1,1,0.7501310000000001,4.0,2,0
2024-03-28,643410,5,3,0,0.6521818181818183,5.0,2,0
2024-03-28,656222,7,2,0,1.022,7.0,5,0
2024-03-28,656605,27,3,2,9.23867275,27.0,21,1
2024-03-28,656629,6,1,1,2.0813230000000003,6.0,3,0
2024-03-28,656945,5,2,2,2.0272620000000003,5.0,1,0
2024-03-28,657006,18,6,1,4.113786303030303,17.0,11,0
2024-03-28,657240,2,0,1,1.288131,2.0,1,0
2024-03-28,657277,24,5,2,6.3031310000000005,23.0,17,0
2024-03-28,657508,3,0,1,0.8511310000000001,3.0,2,0
2024-03-28,660761,14,2,1,5.859316185185185,14.0,11,2
2024-03-28,661527,2,0,1,0.927131,2.0,1,0
2024-03-28,663158,4,1,0,2.2208749999999995,4.0,3,1
2024-03-28,663432,5,0,0,1.600192,5.0,4,0
2024-03-28,663462,4,1,0,0.978,4.0,3,0
2024-03-28,663776,14,2,2,4.9372620000000005,14.0,10,0
2024-03-28,663878,4,2,0,1.2863333333333333,4.0,2,0
2024-03-28,664076,5,0,3,2.3273930000000003,5.0,2,0
2024-03-28,664208,3,0,1,2.9059643333333334,3.0,2,1
2024-03-28,664285,23,5,6,8.841978000000001,23.0,11,0
2024-03-28,664350,4,0,0,1.7954310344827586,4.0,4,1
2024-03-28,665620,3,2,0,0.351,3.0,1,0
2024-03-28,666142,26,9,3,8.382261999999999,25.0,14,1
2024-03-28,666200,19,8,2,4.919347714285714,19.0,9,1
2024-03-28,666205,9,2,0,1.9461920000000001,9.0,6,0
2024-03-28,666277,4,1,1,1.7211310000000002,4.0,2,0
2024-03-28,666745,4,0,0,1.214,3.0,4,0
2024-03-28,666818,3,0,0,0.5409999999999999,3.0,3,0
2024-03-28,668678,21,3,2,8.469184952380953,21.0,15,1
2024-03-28,669062,3,1,0,0.385,3.0,2,0
2024-03-28,669203,19,11,0,2.3355294117647056,19.0,8,1
2024-03-28,669211,3,2,0,0.17,3.0,1,0
2024-03-28,669212,3,0,0,0.254,3.0,3,0
2024-03-28,669373,21,6,0,4.0,21.0,15,0
2024-03-28,669456,22,11,1,5.159312818181818,22.0,10,0
2024-03-28,669459,3,1,0,0.775,3.0,2,0
2024-03-28,669461,3,1,0,0.195,3.0,2,0
2024-03-28,669467,7,2,0,1.5130454545454546,7.0,5,0
2024-03-28,669622,5,1,1,1.5384946363636365,5.0,3,0
2024-03-28,669796,3,0,0,0.9320967741935484,3.0,3,0
2024-03-28,670871,4,1,1,0.8991310000000001,4.0,2,0
2024-03-28,670950,4,1,1,0.896131,4.0,2,0
2024-03-28,671345,2,2,0,0.0,2.0,0,0
2024-03-28,672582,5,2,0,1.3780000000000001,5.0,3,0
2024-03-28,673513,4,0,0,0.26,4.0,4,0
2024-03-28,675989,7,0,0,2.990754098360656,7.0,7,1
2024-03-28,676254,5,1,0,1.479,5.0,4,0
2024-03-28,676395,3,2,0,0.61,3.0,1,0
2024-03-28,676596,1,0,0,0.053,1.0,1,0
